stamp;x;y;z
07/11/2020 13.05.38;0,19813919;-0,020240024;-0,1949434
07/11/2020 13.05.38;0,57417756;-0,034088463;-0,36112466
07/11/2020 13.05.38;0,070307456;-0,010652645;-0,046871636
07/11/2020 13.05.38;-0,5454154;-0,015978966;0,39840892
07/11/2020 13.05.38;-0,41545314;0,05006743;0,25353295
07/11/2020 13.05.39;-0,34621096;0,03195793;0,20772657
07/11/2020 13.06.49;0,13209279;0,02876214;-0,32597092
07/11/2020 13.06.49;0,44528055;0,026631612;-0,8852348
07/11/2020 13.06.49;0,20772657;0,024501082;-0,58056915
07/11/2020 13.06.49;0,572047;-0,16405073;-0,7797736
07/11/2020 13.06.49;-0,06924219;0,07989483;-0,16831179
07/11/2020 13.06.50;-0,67005134;0,06924219;0,034088463
07/11/2020 13.06.50;-0,60933125;-0,0063915867;0,17150758
07/11/2020 13.06.50;-0,3920173;0,036218993;-0,27377295
07/11/2020 13.06.50;-0,08948222;0,058589544;0,09161274
07/11/2020 13.06.50;0,13741912;0,013848438;0,14594123
07/11/2020 13.06.51;0,35260254;-0,05219796;-0,3930826
07/11/2020 13.06.51;0,4101268;-0,008522116;-0,48149952
07/11/2020 13.06.51;0,5539375;0,05752428;-0,25992453
07/11/2020 13.06.51;0,3057309;0,12144015;-0,008522116
07/11/2020 13.06.51;0,46658584;0,11611383;-0,5613944
07/11/2020 13.06.52;0,10865697;0,26205507;-0,10652645
07/11/2020 13.06.52;-0,08948222;0,27057716;-0,16937704
07/11/2020 13.06.52;-0,098004326;0,25033715;-0,35153726
07/11/2020 13.06.52;-0,07456851;0,45060685;-0,06924219
07/11/2020 13.06.52;0,5336975;-0,63383234;-0,21837921
07/11/2020 13.06.52;-0,023435818;0,40586576;-0,24394555
07/11/2020 13.06.53;-0,07243799;0,39521313;-0,33129725
07/11/2020 13.06.53;-0,18322548;0,37603834;-0,15446335
07/11/2020 13.09.53;-0,01917476;-0,03089267;-0,01917476
07/11/2020 13.09.53;0,014913702;0,035153728;0,03195793
07/11/2020 13.09.53;-0,008522116;-0,023435818;-0,017044231
07/11/2020 13.09.53;0,004261058;0,00958738;0,011717909
07/11/2020 13.09.53;-0,0010652645;0,002130529;0,004261058
07/11/2020 13.09.53;-0,0031957934;-0,0063915867;-0,002130529
07/11/2020 13.09.54;-0,0010652645;0,002130529;0,0031957934
07/11/2020 13.09.54;0;0,0031957934;0,0010652645
07/11/2020 13.09.54;0;-0,0031957934;0
07/11/2020 13.09.54;0;0;0,002130529
07/11/2020 13.09.54;0;0,0031957934;0,0010652645
07/11/2020 13.09.55;0;-0,0031957934;0
07/11/2020 13.09.55;0;-0,0010652645;0,0010652645
07/11/2020 13.09.55;0,0010652645;0,002130529;0,002130529
07/11/2020 13.09.55;-0,002130529;-0,002130529;-0,0010652645
07/11/2020 13.09.55;-0,002130529;0;-0,0010652645
07/11/2020 13.09.56;0;0,004261058;0,0031957934
07/11/2020 13.10.45;-0,004261058;-0,0031957934;-0,0031957934
07/11/2020 13.10.45;0,628506;-0,350472;0,3153183
07/11/2020 13.10.45;0,5795039;-0,22903186;0,06178534
07/11/2020 13.10.45;-0,8671253;0,30360037;0,16724652
07/11/2020 13.10.45;0,24820662;-0,09267801;-0,06711166
07/11/2020 13.10.45;2,606702;-0,7030745;-0,11504856
07/11/2020 13.10.46;-0,5752428;0,13422333;0,05539375
07/11/2020 13.10.46;-0,017044231;0,4878911;-0,0063915867
07/11/2020 13.10.46;-0,036218993;0,2876214;-0,09267801
07/11/2020 13.10.46;0,61572284;0,17789917;0,020240024
07/11/2020 13.10.46;-0,21944448;0,10759171;0,027696876
07/11/2020 13.10.46;-0,16831179;0,1555286;0,15765914
07/11/2020 13.10.47;0,31851408;0,16937704;0,20879184
07/11/2020 13.10.47;0,099069595;-0,3355583;-0,08522116
07/11/2020 13.10.47;0,03834952;-0,07243799;0,07137272
07/11/2020 13.10.47;-0,14913702;-0,07989483;-0,041545313
07/11/2020 13.10.47;0,014913702;-0,05752428;-0,015978966
07/11/2020 13.10.48;-0,084155895;0,13315806;0,024501082
07/11/2020 13.10.48;-0,024501082;0,05006743;0,05219796
