stamp;x;y;z
07/11/2020 12.29.53;-4,4580035;-7,0006456;4,969166
07/11/2020 12.29.53;-4,4208937;-7,5321584;6,218939
07/11/2020 12.29.53;-2,3894134;-8,00621;5,4899044
07/11/2020 12.29.53;-2,9257145;-8,413225;6,253655
07/11/2020 12.29.53;-4,557363;-7,8050976;4,9667716
07/11/2020 12.29.53;-3,6284127;-6,9012866;4,9775453
07/11/2020 12.29.53;-2,2385786;-8,384495;6,465542
07/11/2020 12.29.53;-3,4931402;-7,3310456;6,471527
07/11/2020 12.29.53;-4,321534;-8,765172;6,283582
07/11/2020 12.29.53;-3,2213984;-7,2113357;4,3897686
07/11/2020 12.29.53;-3,0789435;-7,848193;6,3793507
07/11/2020 12.29.53;-2,942474;-8,058883;6,2368956
07/11/2020 12.29.53;-3,70383;-7,2149267;5,4300494
07/11/2020 12.29.53;-4,4639893;-6,147113;6,179435
07/11/2020 12.29.53;-2,2625206;-7,589619;6,6079965
07/11/2020 12.29.53;-3,0538042;-7,047333;6,126762
07/11/2020 12.29.53;-4,7919946;-8,271967;6,2249246
07/11/2020 12.29.53;-4,200627;-7,4136457;5,088876
07/11/2020 12.29.53;-2,019509;-7,193379;6,2524576
07/11/2020 12.29.53;-3,1842883;-8,397662;6,381745
07/11/2020 12.29.53;-4,7884035;-7,4842744;5,5138464
07/11/2020 12.29.53;-3,0873232;-6,7001734;5,473145
07/11/2020 12.29.53;-3,1471782;-6,871359;7,0305734
07/11/2020 12.29.53;-3,681085;-6,779182;6,685808
07/11/2020 12.29.53;-4,4017396;-7,382521;5,875371
07/11/2020 12.29.53;-2,847903;-7,117962;6,576872
07/11/2020 12.29.53;-2,7736826;-7,5189905;6,2488666
07/11/2020 12.29.53;-3,9719806;-7,717709;6,355408
07/11/2020 12.29.53;-3,6056678;-6,295553;5,825093
07/11/2020 12.29.53;-2,8778305;-7,277176;6,564901
07/11/2020 12.29.53;-3,2680852;-7,371747;6,7959414
07/11/2020 12.29.53;-3,5625722;-7,369353;6,375759
07/11/2020 12.29.53;-3,453636;-7,565677;5,221754
07/11/2020 12.29.53;-2,8921957;-7,3777328;5,9483943
07/11/2020 12.29.53;-2,9317;-7,9547353;6,421249
07/11/2020 12.29.53;-3,0502129;-7,9463553;5,946
07/11/2020 12.29.53;-4,5082817;-7,4387846;5,955577
07/11/2020 12.29.53;-2,89459;-6,555324;5,5521536
07/11/2020 12.29.53;-3,2932243;-7,5070195;7,253234
07/11/2020 12.29.53;-3,25372;-7,321469;6,8246717
